,X,cityname,Total,Case,Levelx,hubei,provname
6,6,6,1.229369879,26,4,0,23
7,7,7,1.581108977,83,3,0,1
9,9,9,1.0245058,53,3,0,10
13,13,13,1.825124804,24,4,0,25
18,18,18,1.28306145,160,2,0,1
19,19,19,0.880798635,11,4,0,18
20,20,20,1.046865021,13,4,0,23
21,21,21,0.900152915,32,4,0,9
23,23,23,0.963680877,44,4,0,6
24,24,24,0.842373369,52,3,0,2
26,26,26,1.150833055,23,4,0,7
27,27,27,0.901348803,15,4,0,21
28,28,28,1.46526405,108,2,0,1
30,30,30,0.950151132,48,4,0,9
33,33,33,1.193474111,82,3,0,13
34,34,34,1.052025213,51,3,0,15
37,37,37,1.093890709,39,4,0,13
38,38,38,0.862465941,143,2,0,25
40,40,40,1.693655197,17,4,0,1
43,43,43,1.376527509,13,4,0,1
45,45,45,1.660222707,42,4,0,25
46,46,46,1.012529596,NA,4,0,29
47,47,47,0.884320265,19,4,0,17
48,48,48,0.810559896,26,4,0,11
49,49,49,0.814744066,12,4,0,22
50,50,50,0.847360276,NA,4,0,11
53,53,53,1.057077188,18,4,0,25
54,54,54,0.926226766,37,4,0,21
57,57,57,0.7391979,97,3,0,5
59,59,59,0.864020678,11,4,0,18
60,60,60,1.107104033,1389,1,1,12
61,61,61,1.140913045,252,1,1,12
62,62,62,0.739408193,19,4,0,6
63,63,63,0.724728182,84,3,0,5
64,64,64,0.976387915,72,3,0,3
66,66,66,1.796135056,72,3,0,16
68,68,68,1.449606652,155,2,0,1
70,70,70,0.504003032,78,3,0,25
71,71,71,1.223307264,76,3,0,16
73,73,73,1.677556015,30,4,0,25
75,75,76,0.783858583,346,2,0,5
77,77,79,0.794147838,36,4,0,7
78,78,80,1.025723347,32,4,0,6
80,80,82,0.833503382,198,2,0,11
84,84,86,0.881419924,39,4,0,8
87,87,89,0.957990262,32,4,0,9
88,88,90,1.223735102,26,4,0,23
89,89,91,0.828674777,169,2,0,30
90,90,92,0.994404636,174,2,0,1
92,92,94,1.238136949,28,4,0,6
94,94,96,1.04422234,18,4,0,21
96,96,98,0.951238069,19,4,0,10
98,98,100,0.755335769,14,4,0,11
100,100,102,1.402839418,48,4,0,13
104,104,106,0.912814349,12,4,0,17
105,105,107,0.785545644,10,4,0,30
106,106,108,1.240341483,40,4,0,13
107,107,109,1.137178731,66,3,0,15
108,108,110,1.238996617,27,4,0,1
109,109,111,1.253508961,27,4,0,1
110,110,112,1.610684059,2904,1,1,12
113,113,115,1.123922923,1013,1,1,12
114,114,116,0.816097911,62,3,0,5
115,115,117,0.820392158,46,4,0,11
116,116,118,1.480488357,22,4,0,16
118,118,120,0.884363121,47,4,0,21
119,119,121,0.981940076,258,2,0,21
120,120,122,0.713542934,15,4,0,11
121,121,123,0.917019135,45,4,0,30
123,123,125,0.872564447,23,4,0,5
124,124,126,0.932789513,32,4,0,10
127,127,129,0.826685774,55,3,0,30
128,128,130,0.979668584,12,4,0,17
129,129,131,0.919891517,10,4,0,22
130,130,132,0.859723661,37,4,0,22
131,131,133,1.101036856,923,1,1,12
132,132,134,1.240751806,1579,1,1,12
134,134,136,1.321416219,118,2,0,16
137,137,139,1.041729899,26,4,0,10
140,140,142,0.79810427,53,3,0,29
142,142,144,1.148339169,11,4,0,6
144,144,146,0.79607706,NA,4,0,4
145,145,147,0.802792172,30,4,0,9
148,148,150,1.101483296,17,4,0,30
149,149,151,1.095243939,48,4,0,15
150,150,152,1.023592953,NA,4,0,25
153,153,155,0.903467885,38,4,0,21
158,158,160,0.886004407,49,4,0,21
159,159,161,0.9552304,24,4,0,6
160,160,162,1.416984262,69,3,0,1
161,161,163,1.002085835,10,4,0,7
164,164,166,1.306369549,76,3,0,13
165,165,167,1.432634171,24,4,0,25
166,166,168,0.907205441,31,4,0,10
167,167,169,1.060365218,35,4,0,10
169,169,171,1.173816966,38,4,0,1
170,170,172,1.041431105,14,4,0,5
172,172,174,1.140244488,16,4,0,5
173,173,175,1.091522417,22,4,0,25
174,174,176,0.755082301,14,4,0,11
176,176,178,0.863145963,229,2,0,16
177,177,179,1.528813253,39,4,0,25
178,178,180,0.819131215,93,3,0,15
179,179,181,0.868210004,55,3,0,6
180,180,182,1.068851392,20,4,0,3
181,181,183,1.248491141,40,4,0,15
182,182,184,1.036882289,156,2,0,10
183,183,185,1.762211104,22,4,0,25
184,184,187,0.841982322,157,2,0,30
185,185,188,1.031795929,26,4,0,3
187,187,191,0.945169351,16,4,0,25
188,188,192,0.922613479,11,4,0,17
189,189,193,1.009739679,58,3,0,10
191,191,195,1.135844224,33,4,0,16
192,192,196,0.986734135,56,3,0,3
193,193,197,0.975087113,17,4,0,10
195,195,199,0.791580353,17,4,0,11
196,196,200,0.809137187,43,4,0,11
197,197,201,1.219728465,NA,4,0,7
198,198,202,1.010254425,NA,4,0,7
201,201,205,0.900266998,10,4,0,9
202,202,206,0.830605599,60,3,0,21
203,203,207,0.967693983,12,4,0,5
205,205,209,1.091784273,14,4,0,30
206,206,210,0.985830267,13,4,0,29
207,207,211,0.970284314,47,4,0,3
209,209,213,0.950742107,16,4,0,21
211,211,215,1.114270938,14,4,0,3
212,212,216,0.264762237,NA,4,0,8
213,213,217,1.029561803,54,3,0,8
214,214,218,0.889055137,35,4,0,3
216,216,220,1.031575937,25,4,0,5
219,219,223,1.198620751,91,3,0,10
220,220,224,0.839602203,334,2,0,24
221,221,225,1.75469674,123,2,0,16
222,222,226,1.043928518,10,4,0,5
223,223,227,1.292767701,102,2,0,13
224,224,228,0.86664839,42,4,0,30
225,225,229,0.757539698,417,2,0,5
226,226,230,0.813687767,28,4,0,17
227,227,231,1.049083928,671,1,1,12
228,228,232,0.871129117,29,4,0,9
229,229,233,0.681946104,52,3,0,11
231,231,235,0.857589544,NA,4,0,14
233,233,237,0.880168958,87,3,0,15
234,234,238,0.870285198,47,4,0,11
235,235,239,1.290172166,1307,1,1,12
236,236,240,1.383376769,17,4,0,25
238,238,242,1.046341485,146,2,0,30
239,239,243,0.812104672,20,4,0,22
240,240,244,0.970342754,35,4,0,21
241,241,245,1.162124878,37,4,0,15
242,242,246,0.856294989,58,3,0,9
243,243,247,0.849760183,135,2,0,26
249,249,253,1.456926539,29,4,0,1
250,250,254,1.321034783,10,4,0,7
252,252,256,0.892544711,38,4,0,21
253,253,257,0.895225769,44,4,0,21
254,254,258,0.989811148,15,4,0,23
255,255,259,1.082968372,504,2,0,30
259,259,263,0.748824841,23,4,0,28
260,260,264,0.947592312,55,3,0,15
261,261,265,1.172302421,33,4,0,1
262,262,266,0.887576147,28,4,0,19
266,266,270,0.784511981,120,2,0,23
267,267,272,0.687069521,NA,4,0,20
268,268,273,0.892071148,NA,4,0,29
270,270,276,1.158834702,836,1,1,12
271,271,277,0.913505505,17,4,0,23
272,272,278,1.104892221,36,4,0,13
274,274,280,1.077337051,1175,1,1,12
275,275,281,1.214805384,3516,1,1,12
277,277,284,0.929814601,57,3,0,10
278,278,285,1.222237892,130,2,0,16
279,279,286,1.378868833,274,2,0,10
280,280,287,0.968938289,23,4,0,9
282,282,289,1.17603051,13,4,0,15
283,283,290,1.257233771,41,4,0,1
284,284,291,1.076621559,79,3,0,15
285,285,292,0.993693207,39,4,0,10
288,288,295,0.896320573,47,4,0,21
291,291,298,1.304062329,27,4,0,15
292,292,299,1.177108701,23,4,0,15
293,293,300,1.070242772,14,4,0,5
296,296,303,0.858307666,NA,4,0,28
297,297,304,1.318532315,12,4,0,25
298,298,305,1.000298513,929,1,1,12
299,299,306,1.351430919,106,2,0,16
300,300,307,1.062641524,59,3,0,13
301,301,308,0.851495311,33,4,0,19
302,302,309,1.547440374,18,4,0,16
304,304,311,1.484525332,44,4,0,13
306,306,313,1.181612081,11,4,0,6
308,308,315,0.919451195,14,4,0,29
309,309,316,1.167579395,156,2,0,13
311,311,318,0.93627494,19,4,0,22
312,312,319,0.949987749,24,4,0,21
313,313,320,1.115262153,22,4,0,5
315,315,322,0.752232447,40,4,0,9
317,317,324,0.988584503,20,4,0,3
318,318,325,0.969165434,45,4,0,14
319,319,326,0.892042235,242,2,0,13
321,321,328,1.217543137,25,4,0,29
322,322,329,0.89447785,19,4,0,5
323,323,330,1.013484958,12,4,0,15
324,324,331,0.851523982,157,2,0,10
325,325,332,0.809521029,66,3,0,5
327,327,334,1.055539056,570,2,0,31
328,328,335,0.922120617,10,4,0,30
329,329,336,1.382734328,76,3,0,10
330,330,337,0.82734734,98,3,0,5
331,331,338,1.016207554,80,3,0,13
332,332,339,1.326532774,139,2,0,10
334,334,341,0.894458039,30,4,0,21
336,336,343,1.067670292,32,4,0,7
337,337,74,0.886575029,NA,NA,0,6
338,338,77,1.343090474,NA,NA,0,7
339,339,186,0.42505248,NA,NA,0,18
340,340,189,0.603621972,NA,NA,0,19
341,341,271,0.515591111,NA,NA,0,27
342,342,274,0.74544774,NA,NA,0,23
343,343,283,0.664446664,NA,NA,0,28
